day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
95,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.6211445383053219,0.01,0.5,50,56,12,1,5,0,1,2,2,0,1,2,16,0,5,8,22,0,3,1,130,0,1,2,15,0,1,-1931,32,1,0,33,0,0,0
96,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.6180388156137953,0.01,0.5,50,30,8,1,3,0,0,0,4,0,0,0,6,0,3,8,13,0,0,1,128,0,0,0,14,0,0,-2504,41,4,0,45,0,0,0
97,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.6149486215357263,0.01,0.5,50,54,6,1,2,0,1,1,1,0,0,8,16,0,5,2,20,0,3,1,127,0,1,1,13,0,0,-1451,24,1,0,25,0,0,0
98,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.6118738784280476,0.01,0.5,50,46,12,1,6,1,0,0,4,0,0,2,14,0,5,7,17,0,1,1,130,1,0,0,15,0,0,-2760,46,0,0,46,0,0,0
99,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.6088145090359074,0.01,0.5,50,52,4,0,2,0,0,1,1,0,0,5,9,6,3,10,17,0,2,0,126,0,0,1,13,0,0,-2100,35,0,0,35,0,0,0
100,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.6057704364907278,0.01,0.5,50,52,17,3,9,0,1,0,4,0,0,2,13,1,8,3,21,3,1,3,130,0,1,0,13,0,0,-2542,42,2,0,44,0,0,0
101,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.6027415843082742,0.01,0.5,50,34,1,0,1,0,0,0,0,0,0,2,14,0,3,1,13,0,1,0,128,0,0,0,9,0,0,-2471,41,1,0,42,0,0,0
102,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5997278763867329,0.01,0.5,50,39,26,3,7,0,1,2,11,1,1,0,16,0,3,3,17,0,0,3,128,0,1,2,13,1,1,-1211,20,1,0,21,0,0,0
103,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5967292370047992,0.01,0.5,50,41,0,0,0,0,0,0,0,0,0,2,15,3,8,4,9,0,0,2,125,0,0,0,10,0,0,-1642,27,2,0,29,0,0,0
104,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5937455908197752,0.01,0.5,50,56,20,5,5,0,1,1,7,0,1,4,30,2,3,6,11,0,0,5,128,0,1,1,14,0,1,-2051,34,1,0,35,0,0,0
105,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5907768628656763,0.01,0.5,50,44,5,0,2,0,1,0,2,0,0,1,21,0,6,0,14,0,2,1,123,0,1,0,12,0,0,-2291,38,1,0,39,0,0,0
106,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5878229785513479,0.01,0.5,50,36,16,4,4,0,1,1,6,0,0,0,24,2,3,0,7,0,0,4,123,0,1,1,17,0,0,-2220,37,0,0,37,0,0,0
107,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5848838636585911,0.01,0.5,50,59,0,0,0,0,0,0,0,0,0,4,25,0,6,6,18,0,0,2,123,0,0,0,16,0,0,-1860,31,0,0,31,0,0,0
108,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5819594443402982,0.01,0.5,50,52,22,4,9,0,0,1,8,0,0,8,20,0,0,5,17,0,2,4,123,0,0,1,22,0,0,-2771,46,1,0,47,0,0,0
109,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5790496471185967,0.01,0.5,50,41,0,0,0,0,0,0,0,0,0,0,18,0,2,1,16,0,4,0,117,0,0,0,17,0,0,-2182,36,2,0,38,0,0,0
110,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5761543988830038,0.01,0.5,50,49,22,4,8,1,3,0,6,0,0,0,18,0,4,6,21,0,0,4,122,1,3,0,20,0,0,-2100,35,0,0,35,0,0,0
111,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5732736268885887,0.01,0.5,50,62,1,0,1,0,0,0,0,0,0,2,24,0,3,3,30,0,0,1,117,0,0,0,17,0,0,-2024,33,4,0,37,0,0,0
112,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5704072587541458,0.01,0.5,50,47,25,3,12,0,1,1,8,0,0,4,19,0,8,3,12,0,1,3,121,0,1,1,23,0,0,-3060,51,0,0,51,0,0,0
113,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.567555222460375,0.01,0.5,50,66,0,0,0,0,0,0,0,0,0,8,20,2,5,4,24,0,3,1,118,0,0,0,19,0,0,-2171,36,1,0,37,0,0,0
114,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5647174463480732,0.01,0.5,50,48,22,6,6,1,1,1,7,0,0,0,30,1,2,7,8,0,0,6,123,1,1,1,18,0,0,-3393,56,3,0,59,0,0,0
115,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5618938591163328,0.01,0.5,50,51,0,0,0,0,0,0,0,0,0,2,24,0,4,2,16,0,3,3,120,0,0,0,16,0,0,-2220,37,0,0,37,0,0,0
116,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5590843898207511,0.01,0.5,50,52,20,4,9,0,1,1,4,0,1,4,14,0,1,8,25,0,0,4,125,0,1,1,18,0,1,-2520,42,0,0,42,0,0,0
117,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5562889678716474,0.01,0.5,50,70,0,0,0,0,0,0,0,0,0,1,24,2,13,4,20,1,5,0,124,0,0,0,13,0,0,-2351,39,1,0,40,0,0,0
118,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5535075230322891,0.01,0.5,50,75,21,3,8,0,0,2,5,0,3,0,31,0,5,8,30,0,1,3,130,0,0,2,12,0,3,-3731,62,1,0,63,0,0,0
119,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5507399854171277,0.01,0.5,50,53,9,0,4,1,1,0,1,0,2,4,25,1,2,4,17,0,0,0,125,1,1,0,8,0,2,-3191,53,1,0,54,0,0,0
120,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.547986285490042,0.01,0.5,50,57,16,1,7,0,0,0,8,0,0,7,24,0,4,4,18,0,0,1,131,0,0,0,13,0,0,-2722,45,2,0,47,0,0,0
121,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5452463540625918,0.01,0.5,50,63,0,0,0,0,0,0,0,0,0,2,16,1,8,5,29,0,2,0,126,0,0,0,11,0,0,-2940,49,0,0,49,0,0,0
122,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5425201222922789,0.01,0.5,50,32,27,3,13,0,1,2,8,0,0,0,11,0,4,2,14,0,1,3,132,0,1,2,12,0,0,-2951,49,1,0,50,0,0,0
123,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5398075216808175,0.01,0.5,50,83,0,0,0,0,0,0,0,0,0,6,23,0,6,4,33,0,11,1,131,0,0,0,7,0,0,-1282,21,2,0,23,0,0,0
124,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5371084840724134,0.01,0.5,50,49,22,3,7,0,2,2,8,0,0,0,12,0,6,1,29,0,1,3,135,0,2,2,8,0,0,-4320,72,0,0,72,0,0,0
125,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5344229416520513,0.01,0.5,50,75,3,1,1,0,0,0,1,0,0,3,28,1,11,10,22,0,0,1,129,0,1,0,6,0,0,-1991,33,1,0,34,0,0,0
126,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.531750826943791,0.01,0.5,50,65,26,4,12,0,1,2,7,0,0,6,29,1,6,4,15,0,4,4,135,0,1,2,7,0,0,-3682,61,2,0,63,0,0,0
127,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5290920728090721,0.01,0.5,50,82,0,0,0,0,0,0,0,0,0,10,20,1,5,15,27,0,4,2,131,0,0,0,2,0,0,-3071,51,1,0,52,0,0,0
128,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5264466124450268,0.01,0.5,50,47,29,4,12,1,0,2,10,0,0,3,14,0,2,2,26,0,0,4,133,1,0,2,10,0,0,-4091,68,1,0,69,0,0,0
129,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5238143793828016,0.01,0.5,50,77,0,0,0,0,0,0,0,0,0,6,33,1,4,1,28,0,4,0,133,0,0,0,6,0,0,-2160,36,0,0,36,0,0,0
130,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5211953074858876,0.01,0.5,50,53,16,2,5,0,1,1,7,0,0,5,22,0,4,1,17,0,4,2,135,0,1,1,11,0,0,-4320,72,0,0,72,0,0,0
131,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5185893309484582,0.01,0.5,50,55,5,1,1,0,0,1,2,0,0,5,15,0,2,8,21,0,4,1,129,0,0,1,8,0,0,-2220,37,0,0,37,0,0,0
132,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5159963842937159,0.01,0.5,50,32,17,7,2,0,0,1,7,0,0,2,5,0,3,5,17,0,0,7,128,0,0,1,11,0,0,-2771,46,1,0,47,0,0,0
133,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5134164023722473,0.01,0.5,50,75,0,0,0,0,0,0,0,0,0,9,25,0,3,5,32,0,1,6,128,0,0,0,11,0,0,-1800,30,0,0,30,0,0,0
134,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.510849320360386,0.01,0.5,50,49,14,2,5,1,0,0,6,0,0,1,13,2,2,0,27,0,4,7,128,1,0,0,14,0,0,-3993,66,3,0,69,0,0,0
135,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5082950737585841,0.01,0.5,50,67,0,0,0,0,0,0,0,0,0,7,20,3,5,5,24,1,2,3,125,0,0,0,10,0,0,-2231,37,1,0,38,0,0,0
136,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5057535983897912,0.01,0.5,50,47,22,5,6,0,2,1,8,0,0,1,13,0,5,1,25,1,1,5,130,0,2,1,12,0,0,-3420,57,0,0,57,0,0,0
137,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.5032248303978422,0.01,0.5,50,34,0,0,0,0,0,0,0,0,0,2,9,0,2,2,13,0,6,3,128,0,0,0,7,0,0,-2111,35,1,0,36,0,0,0
138,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.500708706245853,0.01,0.5,50,57,19,2,7,0,2,1,6,0,1,10,14,0,8,0,21,0,4,4,131,0,2,1,11,0,1,-1620,27,0,0,27,0,0,0
139,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4982051627146237,0.01,0.5,50,33,0,0,0,0,0,0,0,0,0,2,16,0,0,1,14,0,0,2,125,0,0,0,8,0,0,-2520,42,0,0,42,0,0,0
140,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.49571413690105054,0.01,0.5,50,51,20,3,10,0,1,4,2,0,0,2,31,0,0,1,17,0,0,3,133,0,1,4,9,0,0,-1680,28,0,0,28,0,0,0
141,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4932355662165453,0.01,0.5,50,30,0,0,0,0,0,0,0,0,0,5,11,0,0,2,7,0,5,3,127,0,0,0,5,0,0,-2160,36,0,0,36,0,0,0
142,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4907693883854626,0.01,0.5,50,45,21,4,6,1,1,1,8,0,0,4,15,0,5,0,19,0,2,4,132,1,1,1,11,0,0,-1440,24,0,0,24,0,0,0
143,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4883155414435353,0.01,0.5,50,22,0,0,0,0,0,0,0,0,0,1,3,2,0,0,15,0,1,0,129,0,0,0,10,0,0,-2051,34,1,0,35,0,0,0
144,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4858739637363176,0.01,0.5,50,39,16,4,4,2,0,2,4,0,0,2,19,2,4,0,10,2,0,4,129,2,0,2,13,0,0,-1020,17,0,0,17,0,0,0
145,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.483444593917636,0.01,0.5,50,50,0,0,0,0,0,0,0,0,0,6,24,0,4,0,15,0,1,2,127,0,0,0,12,0,0,-1800,30,0,0,30,0,0,0
146,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4810273709480478,0.01,0.5,50,41,19,6,8,0,0,0,5,0,0,5,17,1,3,5,10,0,0,6,130,0,0,0,14,0,0,-2400,40,0,0,40,0,0,0
147,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.47862223409330756,0.01,0.5,50,51,0,0,0,0,0,0,0,0,0,9,15,1,11,5,9,0,1,6,126,0,0,0,12,0,0,-2122,35,2,0,37,0,0,0
148,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.47622912292284103,0.01,0.5,50,58,15,3,3,0,0,1,6,0,2,10,10,0,18,0,18,2,0,7,127,0,0,1,13,0,2,-2520,42,0,0,42,0,0,0
149,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4738479773082268,0.01,0.5,50,67,1,0,0,0,0,0,1,0,0,11,21,0,5,5,23,0,2,3,126,0,0,0,9,0,0,-2722,45,2,0,47,0,0,0
150,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.47147873742168567,0.01,0.5,50,77,19,2,5,0,2,4,5,0,1,6,22,0,5,4,38,2,0,2,127,0,2,4,13,0,1,-3551,59,1,0,60,0,0,0
151,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.46912134373457726,0.01,0.5,50,52,6,0,2,0,1,0,2,1,0,9,16,1,6,2,18,0,0,0,127,0,1,0,11,1,0,-3731,62,0,11,62,0,0,0
152,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.46677573701590436,0.01,0.5,50,38,11,1,4,1,1,2,2,0,0,2,9,0,4,4,13,1,5,1,130,1,1,2,9,1,0,-2771,46,1,0,47,0,0,0
153,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.46444185833082485,0.01,0.5,50,64,10,2,2,0,2,1,2,0,1,8,18,0,6,2,27,0,3,2,126,0,2,2,10,0,1,-2071,31,1,200,32,0,0,0
154,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.46211964903917074,0.01,0.5,50,67,19,6,3,0,1,2,7,0,0,4,36,0,3,5,19,0,0,6,125,0,1,2,10,0,1,-3210,50,0,210,50,0,0,0
155,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4598090507939749,0.01,0.5,50,61,15,2,6,0,0,1,6,0,0,7,19,3,11,5,15,0,1,2,124,0,0,1,13,0,0,-3637,53,0,457,53,0,0,0
156,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.457510005540005,0.01,0.5,50,56,6,1,2,1,0,0,2,0,0,3,28,0,6,4,13,0,2,1,123,1,0,0,13,0,0,-3191,53,1,0,54,0,0,0
157,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.45522245551230495,0.01,0.5,50,58,24,4,10,0,0,1,8,0,1,2,28,1,6,2,16,0,3,4,123,0,0,1,17,0,1,-3498,49,1,547,50,0,0,0
158,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4529463432347434,0.01,0.5,50,62,0,0,0,0,0,0,0,0,0,1,30,0,1,4,20,0,6,0,119,0,0,0,13,0,0,-2662,44,2,0,46,0,0,0
159,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4506816115185697,0.01,0.5,50,71,23,3,8,1,3,1,7,0,0,2,26,0,4,7,32,0,0,3,124,1,3,1,18,0,0,-3589,58,0,109,58,0,0,0
160,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4484282034609769,0.01,0.5,50,74,0,0,0,0,0,0,0,0,0,12,18,1,7,8,25,0,3,0,121,0,0,0,16,0,0,-3562,58,4,38,62,0,0,0
161,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.446186062443672,0.01,0.5,50,42,25,3,11,0,3,2,5,0,1,0,17,0,2,6,17,0,0,3,122,0,3,2,19,0,1,-4671,68,0,591,68,0,0,0
162,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4439551321314536,0.01,0.5,50,54,0,0,0,0,0,0,0,0,0,0,33,0,2,4,15,0,0,0,121,0,2,0,15,0,0,-1800,30,0,0,30,0,0,0
163,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4417353564707963,0.01,0.5,50,72,27,4,10,0,2,1,9,1,0,11,23,0,3,7,28,0,0,4,120,0,2,1,22,1,0,-3495,49,0,555,49,0,0,0
164,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.43952667968844233,0.01,0.5,50,58,0,0,0,0,0,0,0,0,0,0,25,3,9,4,13,0,4,0,116,0,0,0,16,0,0,-3240,54,0,0,54,0,0,0
165,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.43732904629000013,0.01,0.5,50,58,22,1,9,1,2,2,6,0,1,6,12,2,1,3,32,0,2,1,124,1,2,2,19,0,1,-3280,54,1,29,55,0,0,0
166,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4351424010585501,0.01,0.5,50,49,0,0,0,0,0,0,0,0,0,4,17,3,1,2,16,0,6,0,122,0,0,0,15,0,0,-2711,45,1,0,46,0,0,0
167,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.43296668905325736,0.01,0.5,50,38,21,3,10,0,2,3,2,1,0,2,21,0,3,3,7,0,2,3,128,0,2,3,13,1,0,-2464,41,0,4,41,0,0,0
168,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.43080185560799106,0.01,0.5,50,55,0,0,0,0,0,0,0,0,0,0,27,0,5,3,17,1,2,0,125,0,0,1,11,0,0,-1500,25,0,0,25,0,0,0
169,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4286478463299511,0.01,0.5,50,68,23,3,9,0,0,1,10,0,0,3,27,2,3,0,28,1,4,3,129,0,0,1,17,0,0,-2700,45,0,0,45,0,0,0
170,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.42650460709830135,0.01,0.5,50,58,0,0,0,0,0,0,0,0,0,1,20,1,14,0,22,0,0,0,126,0,0,0,16,0,0,-3600,60,0,0,60,0,0,0
171,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.42437208406280985,0.01,0.5,50,60,18,2,10,0,0,1,5,0,0,4,13,0,6,3,34,0,0,2,128,0,0,1,19,0,0,-2891,48,1,0,49,0,0,0
172,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4222502236424958,0.01,0.5,50,62,0,0,0,0,0,0,0,0,0,5,22,1,5,0,29,0,0,0,127,0,0,0,16,0,0,-3180,53,0,0,53,0,0,0
173,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.42013897252428334,0.01,0.5,50,57,20,2,8,0,2,2,6,0,0,0,30,0,3,1,21,0,2,2,129,0,2,2,15,0,0,-2940,49,0,0,49,0,0,0
174,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4180382776616619,0.01,0.5,50,59,2,0,1,0,0,0,1,0,0,3,23,0,5,2,24,0,2,0,126,0,0,0,10,0,0,-2471,41,1,0,42,0,0,0
175,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4159480862733536,0.01,0.5,50,55,18,1,11,0,1,2,3,0,0,12,14,0,6,3,20,0,0,1,136,0,1,2,8,0,0,-3180,53,0,0,53,0,0,0
176,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.41386834584198684,0.01,0.5,50,34,0,0,0,0,0,0,0,0,0,5,15,0,2,0,9,0,3,0,132,0,0,0,5,0,0,-2651,44,1,0,45,0,0,0
177,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4117990041127769,0.01,0.5,50,62,17,2,4,0,1,1,9,0,0,3,16,0,4,9,28,1,1,2,135,0,1,1,11,0,0,-1800,30,0,0,30,0,0,0
178,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.40974000909221303,0.01,0.5,50,42,0,0,0,0,0,0,0,0,0,6,11,1,4,0,19,0,1,0,134,0,0,0,8,0,0,-3251,54,1,0,55,0,0,0
179,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.40769130904675194,0.01,0.5,50,61,15,3,9,0,0,1,2,0,0,6,23,0,9,2,20,1,0,3,141,0,0,1,5,0,0,-2100,35,0,0,35,0,0,0
180,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.40565285250151817,0.01,0.5,50,45,0,0,0,0,0,0,0,0,0,5,22,0,4,0,13,0,1,0,137,0,0,0,3,0,0,-3060,51,0,0,51,0,0,0
181,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4036245882390106,0.01,0.5,50,38,12,2,3,0,0,0,7,0,0,3,14,0,3,7,11,0,0,2,140,0,0,0,8,0,0,-2580,43,0,0,43,0,0,0
182,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.4016064652978155,0.01,0.5,50,33,0,0,0,0,0,0,0,0,0,3,6,0,2,3,17,0,2,0,138,0,0,0,6,0,0,-1931,32,1,0,33,0,0,0
183,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.3995984329713264,0.01,0.5,50,49,8,2,4,0,0,0,2,0,0,2,20,0,3,2,20,0,2,2,140,0,0,0,8,0,0,-1875,31,0,15,31,0,0,0
184,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.3976004408064698,0.01,0.5,50,48,0,0,0,0,0,0,0,0,0,0,16,2,0,4,23,0,3,0,140,0,0,0,5,0,0,-2640,44,0,0,44,0,0,0
185,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.39561243860243744,0.01,0.5,50,66,9,2,2,0,0,0,4,0,1,6,17,0,5,3,33,2,0,2,138,0,0,0,9,0,1,-2907,46,0,147,46,0,0,0
186,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.3936343764094253,0.01,0.5,50,57,0,0,0,0,0,0,0,0,0,5,31,0,0,3,16,0,2,0,136,0,0,0,8,0,0,-3653,60,0,53,60,0,0,0
187,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.39166620452737816,0.01,0.5,50,64,12,5,3,0,1,0,3,0,0,5,21,2,8,1,26,0,1,5,135,0,1,0,9,0,0,-3430,54,0,190,54,0,0,0
188,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.3897078735047413,0.01,0.5,50,52,5,0,4,0,0,1,0,0,0,1,29,0,4,4,13,0,1,0,134,0,0,1,9,0,0,-3186,53,0,6,53,0,0,0
189,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.3877593341372176,0.01,0.5,50,69,4,1,1,0,0,0,2,0,0,4,31,3,5,8,18,0,0,1,134,0,0,0,11,0,0,-3000,50,0,0,50,0,0,0
190,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.3858205374665315,0.01,0.5,50,51,12,1,5,0,0,1,5,0,0,5,20,0,2,6,18,0,0,1,134,0,0,1,11,0,0,-3871,59,2,309,61,0,0,0
191,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,730,70,0,0.995,0.01,0.38389143477919885,0.01,0.5,50,76,0,0,0,0,0,0,0,0,0,6,32,4,10,5,17,0,2,0,128,0,0,1,10,0,0,-2606,43,0,26,43,0,0,0
