day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,1,0.01,0.5,50,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,29,62,2,9,10,36,0,2,0,0,0,0,0,0,0,0
1,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,False,reg_0,request_scratch,cau100_afr0_asi0_0,regional_0,50,150,1825,70,0,0.995,0.01,0,0.01,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
