day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,41,150,24,50,2,12,16,44,0,2,8,14,0,2,2,14,1,0,24,50,2,12,16,44,0,2,-1250,0,25,0,0,25,0,0,0
1,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,41,0,0,0,0,0,0,0,0,0,2,6,0,6,9,18,0,0,24,50,2,12,0,44,0,2,-2050,0,41,0,0,41,0,0,0
2,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,70,16,2,2,2,2,1,7,0,0,3,25,1,4,6,28,1,2,26,52,4,14,1,51,0,2,-3450,0,69,0,0,69,0,0,0
3,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,61,0,0,0,0,0,0,0,0,0,6,21,0,6,2,24,0,2,26,52,4,14,0,51,0,2,-3050,0,61,0,0,61,0,0,0
4,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,40,1,0,0,0,0,0,1,0,0,6,11,0,0,2,18,0,3,26,52,4,14,0,52,0,2,-7360,0,40,0,5360,40,0,0,0
5,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,22,133,20,52,5,6,13,36,0,1,1,9,0,3,1,8,0,0,22,54,7,8,13,44,0,1,-450,0,9,0,0,9,0,0,0
6,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,22,0,0,0,0,0,0,0,0,0,1,7,0,2,4,7,0,1,22,54,7,8,0,44,0,1,-1430,0,22,0,330,22,0,0,0
7,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,59,29,3,15,0,1,1,6,0,3,4,17,3,0,2,30,0,3,23,67,5,7,1,43,0,4,-2900,0,58,0,0,58,0,0,0
8,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,86,0,0,0,0,0,0,0,0,0,3,37,2,0,9,35,0,0,23,67,5,7,0,43,0,4,-4386,0,86,0,86,86,0,0,0
9,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,65,2,0,2,0,0,0,0,0,0,4,31,0,2,5,21,0,2,23,69,5,7,0,42,0,4,-11050,0,65,0,7800,65,0,0,0
10,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,70,118,13,43,0,8,5,46,0,3,6,27,0,9,7,19,2,0,16,60,0,9,5,52,0,6,-3250,0,65,0,0,65,0,0,0
11,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,31,0,0,0,0,0,0,0,0,0,2,14,1,3,2,9,0,0,16,60,0,9,0,52,0,6,-2418,0,31,0,868,31,0,0,0
12,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,20,35,6,14,0,0,2,11,0,2,0,3,5,1,3,5,0,3,19,59,0,8,2,57,0,5,-900,0,18,0,0,18,0,0,0
13,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,22,0,0,0,0,0,0,0,0,0,3,10,0,4,1,4,0,0,19,59,0,8,0,57,0,5,-1144,0,22,0,44,22,0,0,0
14,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,30,4,1,1,0,2,0,0,0,0,1,9,1,4,3,12,0,0,20,58,0,10,0,57,0,5,-4890,0,30,0,3390,30,0,0,0
15,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,48,109,18,49,1,4,7,29,0,1,5,20,2,0,6,13,0,2,25,64,1,6,7,40,0,3,-2050,0,41,0,0,41,0,0,0
16,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,912,70,0,1,0.01,0,0.01,0.98,50,54,0,0,0,0,0,0,0,0,0,2,17,1,3,0,30,0,1,25,64,1,6,0,40,0,3,-4482,0,54,0,1782,54,0,0,0
